station_code,lon,lat
G520401,105.9269962,26.2557461
G520402,105.9570852,26.2596256
G520403,105.9394823,26.2357388
G520404,105.8688955,26.2455901
G621101,104.6169,35.5975
G621102,104.6228,35.5714
G320201,119.8218,31.35214
G320202,119.79843,31.3655
G511501,104.6061,28.7867
G511502,104.6225,28.7661
G511503,104.6417,28.7639
G511504,104.6789,28.7989
G511505,104.572,28.7862
G511506,104.5761,28.7158
G420501,111.355,30.646389
G420502,111.300833,30.698056
G420503,111.32216,30.77641
G420504,111.2623,30.69039
G420505,111.30323,30.69603
G360901,114.3806,27.8014
G360902,114.4011,27.8072
G360903,114.3703,27.7914
G360904,114.3953,27.7842
G360905,114.3442,27.8036
G610301,107.2386,34.3622
G610302,107.1906,34.3672
G610303,107.1586,34.3708
G610304,107.1186,34.3739
G610305,107.2058,34.3497
G610306,107.1431,34.3547
G610307,107.0708,34.3017
G610308,107.3906,34.3528
G341801,118.7175,30.9431
G341802,118.7386,30.9742
G341803,118.7581,30.9447
G341301,116.9677,33.6284
G341302,116.9686,33.6401
G341303,116.9765,33.6481
G321301,118.321,33.951
G321302,118.2321044,33.95727298
G321303,118.292648,33.93309568
G321304,118.6920504,33.7051529
G330103,119.9489,30.0471
G330104,119.9589,30.051
G370701,118.7822,36.8586
G370702,118.7413,36.8689
G542201,91.7706,29.261
G542202,91.7608,29.2313
G430601,113.272313,29.472746
G430602,113.104,29.354
G430603,113.001944,29.353889
G430604,113.150556,29.425556
G430605,113.170833,29.378056
G430606,113.2102,29.3475
G451401,107.3701,22.3708
G451402,107.3476,22.4137
G511901,106.760247,31.844538
G511902,106.7594,31.8531
G511903,106.7657,31.843394
G511904,106.7389,31.8711
G150801,107.3715,40.7378
G150802,107.5936,40.916
G150803,107.4211,40.7608
G652801,86.1461,41.7511
G652802,86.2022,41.7192
G652803,86.2381,41.7128
G320401,119.974062,31.811226
G320402,119.9047222,31.91083333
G320403,119.9952778,31.75833333
G320404,119.9637967,31.8065917
G320405,119.935,31.70388889
G320406,120.0410436,31.7601537
G430701,111.701528,28.970389
G430702,111.668056,29.041111
G430703,111.6964,29.0191
G430704,111.73,29.075556
G430705,111.68625,29.017361
G320506,120.7168,31.66593
G320507,120.75157,31.6641
G320508,120.7275,31.65
G620801,106.7039,35.5294
G620802,106.6692,35.5461
G370203,119.9452,36.78645
G370204,119.96953,36.79305
G410401,113.1819444,33.737
G410402,113.3219444,33.721
G410403,113.2916667,33.739
G410404,113.3063889,33.72138889
G510801,105.8153,32.4246
G510802,105.8624,32.4285
G510803,105.8242,32.4429
G510804,105.8945,32.4535
G511601,106.6444243,30.4826115
G511602,106.6271,30.4663
G511603,106.6308,30.5278
G511604,106.6303,30.4576
G511605,106.6388,30.4551
G440101,113.568,23.2783
G440102,113.3164249,23.1324521
G440103,113.3612,23.12468
G440104,113.261,23.105
G440105,113.433,23.105
G440106,113.26,23.1331
G440107,113.589,23.5538
G440108,113.348,23.0916
G440109,113.235,23.1422
G440110,113.352,22.9477
G440111,113.215,23.3917
G440112,113.281,23.1569
G621001,107.6831,35.7289
G621002,107.6364,35.7067
G621003,107.6406,35.5236
G131001,116.737,39.534
G131002,116.773,39.575
G131003,116.715,39.557
G131004,116.684,39.518
G610601,109.4824,36.5767
G610602,109.4761,36.6028
G610603,109.4131,36.6275
G610604,109.5056,36.6106
G222401,129.489298,42.8943479
G222402,129.504427,42.909454
G222403,129.3673028,42.8777998
G410201,114.2886111,34.79666667
G410202,114.3801557,34.7965763
G410203,114.346797,34.800119
G410204,114.3443887,34.7762736
G130701,114.903,40.769
G130702,114.881,40.811
G130703,114.898,40.837
G130704,114.904,40.873
G130705,114.85,40.85
G320509,120.5537,31.8799
G320510,120.5306,31.8645
G430801,110.5448066,29.349475
G430802,110.500681,29.113117
G430803,110.466944,29.129167
G430804,110.416667,29.3
G620701,100.4686,38.9467
G620702,100.4497,38.9389
G320301,117.2933333,34.27777778
G320302,117.2563889,34.22222222
G320303,117.2444444,34.29111111
G320304,117.1922222,34.24166667
G320305,117.169421,34.1807
G320306,117.171035,34.179508
G320307,117.1669444,34.27611111
G533101,98.5842,24.428
G533102,98.578,24.441
G371401,116.3061111,37.46638889
G371402,116.3188889,37.4488889
G371403,116.3083333,37.4652778
G510601,104.4219,31.1208
G510602,104.4053,31.1167
G510603,104.3539,31.1108
G510604,104.3883,31.1333
G140901,112.7003,38.4928
G140902,112.7383,38.4519
G140903,112.7356,38.4186
G431201,109.9792,27.5342
G431202,110.0394,27.583
G431203,109.9333,27.5733
G431204,109.9453,27.5444
G431205,109.9972,27.5578
G533301,98.8601,25.8567
G533302,98.8546,25.8417
G422801,109.5038889,30.2988889
G422802,109.5038889,30.2988889
G441301,114.405,23.08
G441302,114.532,22.7422
G441303,114.46,22.7833
G441304,114.413,23.1072
G441305,114.413,23.0744
G510101,104.079,30.5706
G510102,104.176,30.6872
G510103,104.054,30.6578
G510104,104.024,30.6564
G510105,104.074,30.685
G510106,104.1114,30.63
G510107,103.613,31.0283
G510108,104.0282181,30.6625127
G510109,103.9728,30.7236
G321001,119.4391667,32.40333333
G321002,119.46,32.3878
G321003,119.4044444,32.41
G321004,119.864251,32.952527
G321005,119.3886111,32.37611111
G130801,117.952,40.984
G130802,117.963,40.936
G130803,117.818,40.973
G130804,117.938,41.011
G130805,117.966,40.916
G361001,116.385,27.9647
G361002,116.3553,27.9883
G361003,116.2239,28.0797
G361004,116.3598,27.9639
G361005,116.3574,28.0005
G210401,124.038685,41.853192
G210402,123.796944,41.844167
G210403,124.011637,41.89495
G210404,123.087778,41.886389
G210405,123.625945,41.80254
G210406,123.9272171,41.8864946
G540101,91.1303,29.635
G540102,91.0833,29.6347
G540103,91.105,29.6647
G540104,91.13,29.6514
G540105,91.0758,29.6339
G540106,91.1264,29.6444
G370601,120.40105,37.36509
G370602,120.404,37.375
G445201,118.0158333,36.9047222
G445202,116.369722,23.535278
G445203,116.4094,23.5292
G445204,116.324167,23.548611
G510401,101.7453,26.5017
G510402,101.723627,26.5675709
G510403,101.68912,26.57098
G510404,101.5769,26.5928
G510405,101.7169,26.585
G510406,101.848689,26.548573
G532601,104.2533,23.3594
G532602,104.2319,23.3892
G371006,122.027,37.186
G371007,122.0452,37.1973
G410701,113.884,35.272
G410702,113.883,35.303
G410703,113.836,35.279
G410704,113.9347956,35.282877
G360501,115.098468,27.935601
G360502,114.931642,27.813922
G360503,114.91214,27.814478
G360504,114.929052,27.843027
G360505,114.995088,27.847993
G320203,120.3538889,31.58477778
G320204,120.2880556,31.68416667
G320205,120.3538889,31.54738889
G320206,120.29442,31.55997
G320207,120.2416667,31.50305555
G320208,120.24475,31.56308333
G320209,120.2689167,31.48666667
G320210,120.275,31.62194444
G540201,88.8876,29.2718
G540202,88.8931,29.2365
G371101,119.5205556,35.40777778
G371102,119.5486111,35.38166667
G371103,119.4908333,35.38888889
G320511,120.9575,31.38529
G320512,121.0036,31.37935
G530101,102.722,25.0405
G530102,102.743,25.0124
G530103,102.821,24.8885
G530104,102.638,25.0359
G530105,102.625,24.9624
G530106,102.681,25.067
G530107,102.728,25.0836
G652301,87.9897,44.1564
G652302,87.2997,44.0114
G652303,87.2717,44.0297
G540301,97.1809,31.1254
G540302,97.1804,31.1278
G530601,103.7225,27.3361
G530602,103.7032,27.3392
G140701,112.7306,37.7111
G140702,112.7194444,37.68277778
G140703,112.7105,37.7087
G140704,112.708241,37.697792
G140705,112.7549,37.7019
G140501,112.8564,35.4883
G140502,112.8664,35.4894
G140503,112.8252,35.4813
G140504,112.835,35.4934
G140505,112.8453,35.546
G140506,112.85,35.5051
G530801,100.98,22.7633
G530802,100.9817,22.8322
G360201,117.1983,29.2786
G360202,117.1558,29.2647
G360203,117.3097,29.3864
G360204,117.2111,29.2958
G360205,117.2461,29.2956
G530301,103.8033921,25.5346134
G530302,103.541667,25.116667
G140601,112.4254,39.3179
G140602,112.4279,39.3673
G140603,112.4078,39.3265
G140604,112.44,39.3514
G140605,112.4549,39.3606
G211301,120.41381,41.566267
G211302,120.3942263,41.6155216
G211303,120.4503788,41.5690103
G211304,120.507776,41.817091
G000001,0,0
G000002,0,0
G000003,0,0
G000004,0,0
G000005,0,0
G000006,0,0
G000007,0,0
G000008,0,0
G000009,0,0
G000011,0,0
G000012,0,0
G210501,123.759167,41.290278
G210502,123.812641,41.306052
G210503,123.820284,41.347611
G210504,123.740146,41.299494
G210505,123.740556,41.303333
G210506,123.767647,41.329219
G451301,0,23.7218908
G451302,109.2126755,23.7218908
G330105,120.348,30.3058
G330106,120.301,30.4183
G330107,120.088,30.1808
G330108,119.026,29.635
G330109,120.127,30.2456
G330110,120.12,30.3119
G330111,120.27,30.1819
G330112,120.157,30.2897
G330113,120.19,30.2692
G330114,120.211,30.21
G330115,120.063,30.2747
G220701,124.8528,45.1642
G220702,124.8292,45.0878
G542601,94.3616,29.6632
G542602,94.3681,29.6376
G632601,100.2561,34.4714
G370401,117.7352778,34.58055556
G370402,117.451536,35.09953394
G370403,117.5847252,34.77346027
G370404,117.5638889,34.85138889
G370405,117.2666667,34.79111111
G450201,109.4838889,24.3158333
G450202,109.377222,24.384444
G450203,109.42,24.2
G450204,109.4882778,24.3897778
G450205,109.384444,24.345833
G450206,109.41,24.326389
G430201,113.18895,27.99327
G430202,113.251389,27.833611
G430203,113.134722,27.824444
G430204,113.190211,27.797906
G430205,113.13,27.852778
G430206,113.095278,27.886667
G430207,113.143333,27.838056
G450301,110.258,25.2357778
G450302,110.39,25.268
G450303,110.242,25.257
G450304,110.3088889,25.2508333
G441401,116.123333,24.328056
G441402,116.0797,24.2719
G441403,116.1248,24.2654
G450401,111.3178,23.475
G450402,111.2897,23.4792
G450403,111.2353,23.415
G450404,111.26,23.4794
G532301,101.5482,25.0441
G532302,101.538,25.0492
G610801,109.7456,38.2911
G610802,109.7289,38.2839
G610803,109.7336,38.2478
G610804,109.7414,38.3344
G620601,102.6219,37.9311
G620602,102.6469,37.9358
G420101,114.37,30.5733
G420102,114.393,30.4612
G420103,114.13,30.6334
G420104,114.302,30.5332
G420105,114.302,30.5943
G420106,114.282,30.6188
G420107,114.253,30.558
G420108,113.834,30.3165
G420109,114.156,30.6325
G420110,114.365,30.6217
G520501,105.28639,27.3125
G520502,105.31,27.29028
G431101,111.5989,26.4519
G431102,111.6156,26.4214
G431103,111.5992,26.4364
G431104,111.6236,26.2331
G431105,111.6217,26.2081
G610701,107.007,33.0323
G610702,107.0154,33.0706
G610703,106.9893,33.1842
G610704,107.0089,33.1138
G440501,116.402056,23.253639
G440502,116.603333,23.25
G440503,116.751944,23.471389
G440504,116.725833,23.2775
G440505,116.679444,23.366667
G440506,116.724444,23.363889
G441501,115.362778,22.786667
G441502,115.365278,22.775
G441503,115.362222,22.7925
G440701,113.082,22.5931
G440702,113.104,22.6069
G440703,113.024,22.5328
G440704,113.074,22.5811
G320211,120.2446,31.90682
G320212,120.3077,31.9185
G320213,120.2728,31.9176
G341701,117.4974,30.6539
G341702,117.4697,30.6617
G341703,117.491568,30.6648
G210101,123.542,41.8336
G210102,123.355,41.8283
G210103,123.429096,41.796767
G210104,123.4,41.7972
G210105,123.478,41.7775
G210106,123.41,41.765
G210107,123.439,41.7089
G210108,123.642,41.8333
G210109,123.429096,41.796767
G210110,123.535,41.7561
G210111,123.428,41.8472
G130901,116.871,38.323
G130902,116.885,38.299
G130903,116.858,38.325
G451201,108.2134,24.7121
G451202,108.054,24.6928
G451203,108.1009,24.6967
G441601,114.698816,23.757006
G441602,114.950036,23.6914366
G441603,114.694874,23.722691
G350501,118.065951,24.306781
G350502,118.601389,24.898889
G350503,118.581944,24.911667
G350504,118.593889,24.9425
G370901,117.0980556,36.19416667
G370902,117.1180556,36.17583333
G370903,117.1536111,36.1941667
G321201,119.9,32.48666667
G321202,119.8883333,32.46388889
G321203,119.9444444,32.47611111
G321204,119.878754,32.319413
G510501,105.4306,28.9583
G510502,105.4322,28.8558
G510503,105.4436,28.9026
G510504,105.4388,28.883
G410301,112.3627778,34.66916667
G410302,112.3938889,34.65111111
G410303,112.4275,34.62583333
G410304,112.433333,34.67
G410305,112.3844444,34.62305556
G410306,112.4830556,34.68694444
G410307,112.4663889,34.68694444
G370101,116.945,36.663
G370102,117.0486111,36.66222222
G370103,117.1247222,36.68538889
G370104,116.9427778,36.64088889
G370105,116.989,36.6872
G370106,117.0602778,36.68527778
G370107,116.9880556,36.61138889
G370108,116.734,36.5336
G370801,116.6376111,35.43677778
G370802,116.5476111,35.39088889
G370803,116.6186111,35.40888889
G630201,102.1086,36.4997
G632201,100.9048,36.9639
G632501,100.6236039,36.2757528
G460101,110.576,19.9507
G460102,110.323,20.0574
G460103,110.338,19.9969
G460104,110.283,20.0053
G460105,110.33,20.0356
G632801,97.3731,37.3753
G320606,121.1774,31.89383
G320607,121.1588991,31.8943569
G370301,117.8511111,36.80416667
G370302,118.0447222,36.83805556
G370303,118.0422222,36.80833333
G370304,117.8477778,36.49722222
G370305,117.9544444,36.63777778
G370306,118.3091667,36.81972222
G340601,116.8067,33.8997
G340602,116.8008,33.975
G340603,116.7844,33.9461
G340401,116.8306,32.6319
G340402,117.0417,32.6611
G340403,117.0083,32.645
G340404,116.8028,32.7639
G340405,116.7039,32.625
G340406,117.016,32.65
G340407,116.8556,32.6028
G320801,119.0079056,33.57803889
G320802,118.9994444,33.60722222
G320803,119.1411111,33.50305556
G320804,119.0122222,33.62694444
G320805,119.0567889,33.59919444
G440301,113.987,22.5417
G440302,113.923,22.5167
G440303,114.494,22.5422
G440304,114.297,22.5978
G440305,114.117,22.5625
G440306,114.263,22.5908
G440307,114.096,22.55
G440308,114.41,22.6342
G440309,113.891,22.5794
G440310,114.085,22.75
G440311,114.24,22.7267
G441801,113.062692,23.697899
G441802,113.047777,23.688409
G441803,113.4137742,24.18802
G330301,120.677,27.9939
G330302,120.671,28.0167
G330303,120.634,28.0089
G330304,120.76,27.9747
G610501,109.4636,34.493
G610502,109.5293,34.5101
G610503,109.5049,34.5004
G610504,109.4266,34.5021
G330501,120.09,30.894
G330502,120.112722,30.863019
